date,state,product,production
2010-01-01,Perlis,logs,218
2011-01-01,Perlis,logs,461
2012-01-01,Perlis,logs,424
2013-01-01,Perlis,logs,787
2014-01-01,Perlis,logs,960
2015-01-01,Perlis,logs,779
2016-01-01,Perlis,logs,496
2017-01-01,Perlis,logs,19
2018-01-01,Perlis,logs,87
2019-01-01,Perlis,logs,211
2020-01-01,Perlis,logs,35741
2021-01-01,Perlis,logs,51283
2011-01-01,Pulau Pinang,logs,946
2012-01-01,Pulau Pinang,logs,2736
2013-01-01,Pulau Pinang,logs,96
2020-01-01,Pulau Pinang,logs,41
2021-01-01,Pulau Pinang,logs,27
2000-01-01,Sabah,logs,3727762
2001-01-01,Sabah,logs,2588417
2002-01-01,Sabah,logs,4436381
2003-01-01,Sabah,logs,4959460
2004-01-01,Sabah,logs,5415796
2005-01-01,Sabah,logs,5957526
2006-01-01,Sabah,logs,5336081
2007-01-01,Sabah,logs,5941229
2008-01-01,Sabah,logs,4718368
2009-01-01,Sabah,logs,4251951
2010-01-01,Sabah,logs,3483928
2011-01-01,Sabah,logs,2212466
2012-01-01,Sabah,logs,1965671
2013-01-01,Sabah,logs,2101143
2014-01-01,Sabah,logs,1829029
2015-01-01,Sabah,logs,1856451
2016-01-01,Sabah,logs,2083435
2017-01-01,Sabah,logs,1375455
2018-01-01,Sabah,logs,1384739
2019-01-01,Sabah,logs,1074922
2020-01-01,Sabah,logs,680800
2021-01-01,Sabah,logs,1122292
2000-01-01,Sarawak,logs,14274000
2001-01-01,Sarawak,logs,12179000
2002-01-01,Sarawak,logs,11855000
2003-01-01,Sarawak,logs,12153000
2004-01-01,Sarawak,logs,12051000
2005-01-01,Sarawak,logs,12035713
2006-01-01,Sarawak,logs,11864167
2007-01-01,Sarawak,logs,11891244
2008-01-01,Sarawak,logs,11335576
2009-01-01,Sarawak,logs,10371139
2010-01-01,Sarawak,logs,10151817
2011-01-01,Sarawak,logs,9610434
2012-01-01,Sarawak,logs,9458563
2013-01-01,Sarawak,logs,8211078
2014-01-01,Sarawak,logs,8716098
2015-01-01,Sarawak,logs,8200719
2016-01-01,Sarawak,logs,7413526
2017-01-01,Sarawak,logs,5489624
2018-01-01,Sarawak,logs,4696721
2019-01-01,Sarawak,logs,4074254
2020-01-01,Sarawak,logs,2417100
2021-01-01,Sarawak,logs,2334910
2000-01-01,Selangor,logs,69994
2001-01-01,Selangor,logs,65015
2002-01-01,Selangor,logs,44388
2003-01-01,Selangor,logs,71288
2004-01-01,Selangor,logs,40492
2005-01-01,Selangor,logs,38981
2006-01-01,Selangor,logs,48142
2007-01-01,Selangor,logs,37847
2008-01-01,Selangor,logs,23789
2009-01-01,Selangor,logs,6193
2010-01-01,Selangor,logs,4333
2011-01-01,Selangor,logs,2596
2012-01-01,Selangor,logs,2064
2013-01-01,Selangor,logs,1072
2014-01-01,Selangor,logs,703
2015-01-01,Selangor,logs,4311
2016-01-01,Selangor,logs,4286
2017-01-01,Selangor,logs,3577
2018-01-01,Selangor,logs,28978
2019-01-01,Selangor,logs,853
2020-01-01,Selangor,logs,233
2021-01-01,Selangor,logs,134
2000-01-01,Terengganu,logs,596843
2001-01-01,Terengganu,logs,668322
2002-01-01,Terengganu,logs,640864
2003-01-01,Terengganu,logs,682146
2004-01-01,Terengganu,logs,711403
2005-01-01,Terengganu,logs,522738
2006-01-01,Terengganu,logs,493864
2007-01-01,Terengganu,logs,403786
2008-01-01,Terengganu,logs,388262
2009-01-01,Terengganu,logs,304389
2010-01-01,Terengganu,logs,560138
2011-01-01,Terengganu,logs,423495
2012-01-01,Terengganu,logs,561852
2013-01-01,Terengganu,logs,447044
2014-01-01,Terengganu,logs,474091
2015-01-01,Terengganu,logs,296115
2016-01-01,Terengganu,logs,263606
2017-01-01,Terengganu,logs,380544
2018-01-01,Terengganu,logs,677844
2019-01-01,Terengganu,logs,396237
2020-01-01,Terengganu,logs,189917
2021-01-01,Terengganu,logs,211839
